papers,HYPOTHESIS
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/01979d36908449d8347c453f70a96afc4259ecc2.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/121ce884708dcbaa9d1ad378dbcb37521c1c420d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/03152dedf6db0d171dd3e22acf598f87bc3d8578.summary']",Can the combination of TriMAb and RIG-I ligands enhance the antiviral response of T cells against HBV-infected cells by promoting a sustained and coordinated activation of both T cells and antigen-presenting cells?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7111a27c197ebe526e5a8c0f4ff867f278faf847.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e0f991cff76d559a3996fd01f2c56e4c2167b946.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6f185bc943b624e54ee6d4afb07bc6afaf811126.summary']",Can the combination of anti-CD19 CAR-T cells and CD62L+ NKT cells enhance the persistence and antitumor activity of CAR-T cells in the central nervous system and improve long-term remission in pediatric B-ALL patients with extramedullary relapse?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3d356935fab5ecdb3602ddbd48a78314a0ccdc80.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/01f57887d51ce2e1f60071bc0c19bef81d890293.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1221e653d61144c72b256487cc1486fcddd9f9f8.summary']",Can the combination of AMP-modified CD19 peptides and DGK-a/z RNAi enhance the persistence and anti-tumor activity of CAR-T cells by modulating the tumor microenvironment and optimizing T cell function in B-cell malignancies?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/084ef8d13a6d3672619a0e65339ca9d95f67012d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/094d09bb73ed396756e8968cc5b00a574c509823.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f98f11e039d5c84164b84008ec81765319ceec26.summary']","Can the co-expression of LRP6 with the modified FcγRI receptor on antigen presenting cells enhance their tolerogenic phenotype and promote the generation of regulatory T cells, leading to improved immunomodulation and tolerance in individuals with type 1 diabetes?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f62133cd8c35e7c6a917695d764a14f34f4b2865.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/02a8e1f4d4dbd55c5f773a1c7ff71033ab91f654.summary']","Can CD4+ T cells that recognize B cell receptors in multiple sclerosis patients also regulate the expression of PD-L1 on macrophages, thereby modulating the efficacy of CAR-T cell therapy in B cell malignancies?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/053922e5a327be19618f7f5d32e1e018c84fd84d.summary'],"Does the DNA methylation-mediated repression of Pax5 also regulate the expression of other transcription factors involved in B cell activation, leading to a coordinated epigenetic program for immune response?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0702699ecdbf0a73194acc009fa7805643f4fe36.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/550e54a7f00f481e7020b7f3ba7a298c5e668210.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/62a954355f4c143843bc864d3eb5f255af2463d3.summary']","Does the gut microbiota play a role in regulating the elimination of self-reactive B cells in the GALT, and can modulation of the gut microbiota composition influence the efficacy of B cell depletion therapies in autoimmune diseases?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/13219dd31baba5f25046b4cf4e92ad6af61ea883.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2f3a8b1d4b6a3184b4cc5d0a2d77e5b9fd6fc317.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/647e36d87abb2f3e35d6ed50e664167a5e60ac9a.summary']","Does TLR9-mediated regulation of FOXO1 expression in B cells modulate the suppressive effects of TGF-β3 on antibody production, thereby influencing disease activity in systemic lupus erythematosus?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/a99d4bc7fb268ee0fb01ce290b57d6ff89edcd6b.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/fa04449092a0d6147faac8ef430e527d26702f8f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6a10da7f015652180d1aaeaecb0ad87979f8493a.summary']","Does dasatinib treatment modulate the expression of CD38 on B cells in RA patients, leading to reduced autoantibody production and inflammation?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/600d4c51568522c951ab993d87f59714b2e0c4c8.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1117972fdff2d8fca016f399f9a3619075b413f3.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/313a4043a1921f9f6d051a0ea4ade5c98c53d0c5.summary']","Does the combination of IgD and IL-6 enhance the activation of peripheral blood mononuclear cells and promote the differentiation of Th17 cells in rheumatoid arthritis patients, leading to increased disease activity and inflammation?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6b5f752d55050f99e3f71f3596bc7640d666f2c2.summary'],"Does the depletion of follicular B cells in lymphoid tissues, in addition to switched memory B cells, lead to a more complete response to rituximab treatment in rheumatoid arthritis patients?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/9873e8af082abea7315eb8684a0f03b55d4a74c9.summary'],"Does the dynamic interaction between SIRT1 and LSD1 in regulating KU70 also influence the recruitment of other DNA repair pathways, such as homologous recombination, in response to different types of DNA damage?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c8f8370979760c1662b9bb305626e43337c06d78.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/5a1f0559db56ad8483c54049db4692d38ed8d8d7.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2f8f86a7061c3cc9424db8e498041ff34f7a3f88.summary']","Does the organization and dynamics of the cortical actin cytoskeleton regulate the size and composition of BCR clusters, thereby influencing the selection of endocytic pathways and subsequent antigen presentation?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/a15481dd8246ab357a83ab59f152a45a48d1c3b7.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/136a26b8179a2ee11d2c8d09297f4d689e29ec3d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/8065496c3cfd66d5df19b1e7533a162f75b46e7c.summary']",Does the spatial organization of the plasma membrane influence the aberrant spreading behavior of ARPC1B-deficient B cells by modulating actin dynamics and protein interactions?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/97c5c21a737f67a8116c4cea8236f6f7ff6e5009.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2a783df7898afb7bdbdc50dd9c212f1377ac5b8b.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/70b8bc5c905166fe154c256a910295cd6e2c1ed3.summary']","Does the coordinated regulation of ARP2/3 complex-mediated actin polymerization and WNT5A signaling in the bone marrow niche influence the cortical actin cytoskeleton organization and B cell receptor diffusion, thereby modulating the threshold for B cell activation and immune response?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0116a23eb462561eb49925c6e7ceadf2088d9785.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/cf573eb8612574899bc230f73ec0f4797a9b1452.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/102ffa0c50d959213b33a0880c1e2246e08c6faf.summary']",Does the actin cytoskeleton-mediated regulation of B cell receptor signaling and metabolic activity by MIM also influence the Hedgehog pathway's role in maintaining leukemic stem cells in Chronic Myeloid Leukemia?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1112510ea517f87b9bc5b404ba98a11456dd5f2d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/530a0e0349839b78cb2078666b2a528994aae3f3.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/619e0fe9de0274e7de51116185b6d5a4d5a84f8e.summary']","Does the inhibition of glutamine metabolism in B cells affect the SUMOylation of Bruton's tyrosine kinase, leading to altered B-cell receptor signaling and activation?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/5194d78ba0ffd398c0814a0aeadd003770e3eb4a.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/95df3673cc32ccf7a1d3e78e9f052df29ae0909b.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/bb7d26f0365b1cb67ff1730f7d83e82a20b038cc.summary']","Does the spatial organization of B-cell receptors in CLL cells influence the metabolic vulnerability of leukemic stem/progenitor cells to tyrosine kinase inhibitors, and can this vulnerability be targeted by bis-biguanide alexidine to enhance treatment efficacy?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4aacee211837bc4b80dd7f85fbe30b6733288125.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/91d0913086cac86d0d4b562e73db8b7255e021a4.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0b729b2f5bf471ff4cc2f1a4cb3c10342f2fac39.summary']",Does ARHGEF1 regulate INPP5B-mediated PIP2 hydrolysis to modulate actin dynamics and B cell activation in response to antigen stimulation?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/02be4702905f1957b2009f48966fb8e65de25a55.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/198febefa974be576b11b34991559d210503923f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/70bfe20cb8b0e638e684da85e327a289bd50d884.summary']","Does the ABL kinase regulate the spatial organization of B-cell receptor microclusters and the formation of a central supramolecular activation cluster (cSMAC) through phosphorylation of Arp2/3 complex components, thereby modulating B-cell activation and immune synapse formation?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0de9b8ada4d8d30c6958ccb3961a9fc4e066488d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6cbd8d3cee5c3389b2c863ea95f2a693881bb6e7.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/9728b25cd9e67598351ac7111165213a0f88b7c5.summary']",Does the inhibition of Bruton's tyrosine kinase (BTK) in Ph-like ALL cells prevent the adaptation to JAK inhibition by blocking the switch to BCR-like signaling and thereby enhancing the efficacy of JAK inhibitors in treating Ph-like ALL?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/03766d62c89b16ce463e4a0587118ca77e90c107.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/84f1c2b90bd8841c66566117647d73793bbc802e.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/21e339bfbe4e768afdbc03af688dc7e63cc88969.summary']",Does the simultaneous downregulation of HERC1 and HERC2 in hematopoietic stem cells lead to the development of resistance to tyrosine kinase inhibitors in Chronic Myeloid Leukemia?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ca8b53a584d41b9467ea561636f169c9cae752ae.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/17c8bdb0aaf6aa11b1b1cdf02a5be0ea225a2013.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2b33dd74a1cf432f63262eb5a7d3de4dac96cec1.summary']","Does the actin cytoskeleton play a role in regulating the efficacy of BTK inhibitors in B cell malignancies by modulating BCR signaling and clustering, and can targeting the actin cytoskeleton enhance the therapeutic response to BTK inhibitors in resistant patients?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ede35dbaed9a102c9a12dfc7cf4643edc34d6b25.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c2cd3a345d805bb13175c4948d2e4908a1cc7f5e.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0284344bbdbad158689e4dcef2a3a901dcfb4470.summary']","Does the nanoscale organization of CD22 on the surface of naive B cells influence the recruitment and activation of Vav proteins, thereby modulating BCR signaling and B cell development?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/24cb27c1d1f57bb5861b7da5b3b1aa0072c7b8ac.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/eba3bc381602caaa3c52e321e7e27ddf93e73f13.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/35e8534fdb11746a57cc8b31d467bdd0e12cbac9.summary']",Does the simultaneous inhibition of the NF-kB arm of the BCR signaling pathway and the PI3K/AKT/mTOR pathway enhance the efficacy of BTK inhibitors in treating B cell malignancies by reducing the development of resistance mutations?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/461f2ab6f7a57fcbc4f9a22d5b7d111f3ecf80f7.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/467842e16745b747b92af91908f9b01ec612a23d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0fecd0633759dac200361cc0db8b251dd941d98f.summary']",Does WAVE2 regulate the self-renewal of B cell-derived lymphoma stem cells by modulating the KLF4-DYRK2 pathway and actin-dependent processes?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6530267a1c0073db06a1da1c31ab85f15856f9d8.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/31479ee6c3208d991c942491922a9a90775b702c.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6608073461b7c6bee587b5a2d696057961fd192b.summary']",Does the reduced kinase activity of BCR::ABL1 in chronic phase CML patient samples contribute to the increased efficacy of non-covalent BTK inhibitors in treating B-cell malignancies?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/16b167a0a9b2e4544688df964def696f2231dbea.summary'],"Does the Lyn-mediated phosphorylation of SHIP-1 and PTEN also regulate the anergy of T cells, and if so, does this pathway play a role in the development of T cell-mediated autoimmune diseases?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/00775cc19f8a1d4fcb57378e0d389d92ad620787.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0358920eb5dbc36587326ebd980942218636531d.summary']","Does the binding of Ikaros/IRF4 complexes to ZICEs also regulate the expression of Aicda, thereby influencing the balance between somatic hypermutation and class switch recombination in B cells?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/990aadb4184c1f4d1bfb07f16ba14d4259f7e979.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/72653239230ad232f95848d63ef9f8a2547514e1.summary']",Can the simultaneous upregulation of pattern recognition receptors and demethylation of specific epigenetic targets in immune cells enhance the antiviral immune response and promote HBsAg seroconversion in chronic hepatitis B patients?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/260438e480099d5430017d33b4e4a241d108c659.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/9851918cf2dfab2fdb0096a960bbc307033f78cd.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2ece3e913ea23cd6e81c70c7e81540c9c835c293.summary']","Can a combination of NX-5948 and MTX-loading DNA tetrahedron synergistically enhance the degradation of BTK and regulation of macrophage activity, leading to improved treatment outcomes in rheumatoid arthritis patients?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/09e5a7801c8d03676c6c6d553e4fd78cd8aeeecd.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/024bfd902d2428c06820bdedab50ba27b3a5f313.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0171d162a8431e05e8205b10b465074dd556f98d.summary']","Do BTK inhibitors modulate citrullination and anti-citrullinated protein/peptide antibodies production in autoimmune arthritis by targeting macrophages in lymphoid tissues, thereby reducing disease severity?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d3e26dbdb33ab6198fc4b234e2a1d87e3b65ab8f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2bb827c21605eda0093859ce608dca922344e146.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/01cff8e8166a54fa2af506dc3ecc2a8e39dc630b.summary']","Does the altered protein tyrosine phosphatase activity in autoimmune diseases, such as SLE, contribute to the development of resistance to Bruton tyrosine kinase inhibitors in B-cell malignancies?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1cdd323d97d549ca3ec740ed205d6394ba4d761f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/08bd98893595c65520d82235e7cb78fe2a63aa6d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/b0a81bc2f5bea37a20b6712f43acd41aaf56dfb1.summary']","Can targeting Bruton's tyrosine kinase in regulatory B cells enhance their IL-10 production and restore the balance with follicular T helper cells, leading to improved treatment outcomes in patients with chronic lymphocytic leukemia and atopic dermatitis?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/45fcd131bed48fe8e0d958f2bc01d7497e074443.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/01b16c07494f564bc5a797b9bf09aaaa3bfe21a9.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f2b6af6fac36b20212ea282ebd759158709558b9.summary']","Can targeting TLR7 and TLR9 simultaneously in age/autoimmunity-associated B cells lead to a more effective therapeutic strategy for treating inflammatory arthritis, including rheumatoid arthritis, by disrupting their differentiation and activation pathways?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/025231b736e93e863a3a31200412a276c23453d9.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/20b296ee6d98b9eecccea398fe373c9e4892fc3f.summary']",Does the inhibition of p110δ activity in Rab8a knockout B cells further enhance antibody responses and class-switch recombination by modulating the PI3K/AKT/mTOR pathway?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/433fbaae85d5cdd75292450e11e259bf916bd49c.summary'],Can the application of nonparametric Bayesian statistics to single-molecule tracking data from multiple spatially-resolved regions within a living cell reveal coordinated dynamics and communication between distinct subcellular compartments?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7d5c64f3b5e9c0f03af9248cd996aba155609f59.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0faf911519ef1a7cef62f4bedf68ca5a4e1970e5.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4d28f5775396681d3f2bc5de1278a0422c085cc9.summary']","Can the expression levels of novel miRNAs (novel_229, novel_609, and novel_973) in human peripheral blood mononuclear cells (PBMCs) predict the susceptibility to influenza A/H3N2 infection and modulate the immune response by regulating the expression of genes involved in B cell receptor signaling and immune response?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/022dc2aeae70a5e9c44516de773b767a88c90e84.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/620cb906daa5919d237cd715f4715246e5d76e88.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ae5a332a74e8e21e8db97d2f10c0b35d4d536381.summary']","Does IL-17A-induced Blimp-1 expression in B-1a cells also regulate the PI3K pathway, thereby influencing the function of regulatory B cells in autoimmune diseases?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/9364fba66d111773e2c33afe2623aeaba633f87e.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/07ab23a0d9b962597ce6492a3ec5e65ab12da394.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/06ae5438bdc08ebf0dbb9b447d2156c427c5314f.summary']",Can the synergistic activation of B cells by CD40L and thymus-independent antigens enhance the control of Mycobacterium tuberculosis infection in asymptomatic individuals?
